scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine,condition_id,condition,condition_index
One-Shot LLM,25,2054,180,0,4500,0.5135555555555555,1.6615490293247126,11.830390282606446,11.37076648826833,242.34209756883484,1.0,0.0,0.0,0.021848733071237803,760.0,135.0,0.09851694915254237,0.5443655723158829,0.761136712749616,edge_congested,Edge congested,2
AAI-CDOS,25,2055,180,195,4500,0.8942222222222223,0.2427420414273284,0.4469851381455307,1.5665909272979286,16.912463374138536,1.2124444444444444,0.21244444444444444,6.956444444444444,0.013829489018664591,881.2337777777777,103.05777777777777,0.7595505617977528,0.8874891398783666,0.9977064220183486,edge_congested,Edge congested,2
Single Domain,25,2055,180,195,4500,0.35755555555555557,4.369392351140892,18.371612600210057,41.53542567200267,786.7714649583442,1.0,0.0,1.0,0.00204246672284272,0.0,0.0,0.06404494382022471,0.40139009556907035,0.4801223241590214,edge_congested,Edge congested,2
Independent Agents,25,2055,180,195,4500,0.6208888888888889,0.3279224650971988,0.5182196088462072,7.766671335523877,154.83703681738183,1.0,0.0,4.0,0.009290733115954531,0.0,0.0,0.030337078651685393,0.6350999131190269,0.9977064220183486,edge_congested,Edge congested,2
One-Shot LLM,25,2055,180,195,4500,0.5571111111111111,1.7946630802764534,12.995908683546393,10.40477427534822,233.966008248533,1.0,0.0,0.0,0.022138822112335928,760.0,135.0,0.10449438202247191,0.608601216333623,0.7744648318042814,edge_congested,Edge congested,2
AAI-CDOS,25,2026,180,108,4500,0.8902222222222222,0.29398998261286813,0.6204668076179156,1.6019073064966927,18.607712302487478,1.2195555555555555,0.21955555555555556,6.988,0.01349431115280216,882.4426666666667,103.66222222222223,0.7358695652173913,0.9020916777926123,0.9767441860465116,uav_blockage,UAV blockage,3
Single Domain,25,2026,180,108,4500,0.5597777777777778,0.5435365063921734,1.7150489875399912,9.962004606371293,208.46696038971322,1.0,0.0,1.0,0.001821866834587935,0.0,0.0,0.10434782608695652,0.5536270582999555,0.8844711177794449,uav_blockage,UAV blockage,3
Independent Agents,25,2026,180,108,4500,0.5837777777777777,0.3658426206428872,0.6705236688749127,8.63501024725193,182.51798828522135,1.0,0.0,4.0,0.009436377679877397,0.0,0.0,0.075,0.5589675122385402,0.9767441860465116,uav_blockage,UAV blockage,3
One-Shot LLM,25,2026,180,108,4500,0.37866666666666665,2.4132209476770523,12.707322001142101,22.390415002007238,462.44404697969077,1.0,0.0,0.0,0.01468744454258639,760.0,135.0,0.08260869565217391,0.36092567868268804,0.6129032258064516,uav_blockage,UAV blockage,3
AAI-CDOS,25,2027,180,193,4500,0.8853333333333333,0.35724859255797337,0.8601932488148893,1.6254485916587043,18.439383125795928,1.2293333333333334,0.22933333333333333,7.032,0.013579066726379097,884.1048888888889,104.49333333333334,0.725752508361204,0.8970456580125336,0.970781592403214,uav_blockage,UAV blockage,3
Single Domain,25,2027,180,193,4500,0.5195555555555555,0.8063522821600626,2.7807151489086026,13.180108134245868,240.68813979215253,1.0,0.0,1.0,0.0018425997501860063,0.0,0.0,0.07692307692307693,0.5192479856759177,0.8100803506208911,uav_blockage,UAV blockage,3
Independent Agents,25,2027,180,193,4500,0.6011111111111112,0.3896089080308604,0.6969567766427298,8.58965752043752,152.5074820562138,1.0,0.0,4.0,0.009324199714077016,0.0,0.0,0.07915273132664437,0.5828111011638317,0.972972972972973,uav_blockage,UAV blockage,3
One-Shot LLM,25,2027,180,193,4500,0.35133333333333333,2.8788645772035037,13.429340688878943,24.941856863629805,462.3370279922346,1.0,0.0,0.0,0.014679733146395948,760.0,135.0,0.056856187290969896,0.3446732318710833,0.5551497443389335,uav_blockage,UAV blockage,3
AAI-CDOS,25,2028,180,62,4500,0.8828888888888888,0.3594522681113844,0.8476304920593317,1.653881105126792,38.584540462441865,1.2344444444444445,0.23444444444444446,7.0551111111111116,0.012908888961343715,884.9737777777777,104.92777777777778,0.736046511627907,0.883956043956044,0.9736263736263736,uav_blockage,UAV blockage,3
Single Domain,25,2028,180,62,4500,0.5015555555555555,0.7714019055607619,2.6348667884007457,13.16797447759637,323.65142863241533,1.0,0.0,1.0,0.0017244886710411972,0.0,0.0,0.0872093023255814,0.4575824175824176,0.8358974358974359,uav_blockage,UAV blockage,3
Independent Agents,25,2028,180,62,4500,0.5828888888888889,0.3987765003651936,0.7372172595429551,9.537161063958244,235.5905415594606,1.0,0.0,4.0,0.009504266697654707,0.0,0.0,0.08139534883720931,0.5389010989010989,0.9721611721611721,uav_blockage,UAV blockage,3
One-Shot LLM,25,2028,180,62,4500,0.30644444444444446,3.301880133833355,13.528806319230988,33.61713386110008,698.7309241217839,1.0,0.0,0.0,0.014834289038036432,760.0,135.0,0.05465116279069768,0.2896703296703297,0.49304029304029307,uav_blockage,UAV blockage,3
AAI-CDOS,25,2029,180,205,4500,0.8773333333333333,0.32812410590151075,0.6922166606970198,1.7888541180182653,42.864791106544324,1.2455555555555555,0.24555555555555555,7.105111111111111,0.012938222104114376,886.8626666666667,105.87222222222222,0.7124183006535948,0.8815439219165927,0.9841867469879518,uav_blockage,UAV blockage,3
Single Domain,25,2029,180,205,4500,0.52,0.6934538615307949,1.9609744725821805,12.404923937367265,285.4961145473033,1.0,0.0,1.0,0.001901911080090536,0.0,0.0,0.0860566448801743,0.49245785270629994,0.8667168674698795,uav_blockage,UAV blockage,3
Independent Agents,25,2029,180,205,4500,0.5804444444444444,0.37646986999832904,0.6666427604274673,8.881657469586786,201.97933244221846,1.0,0.0,4.0,0.009504377977767339,0.0,0.0,0.06427015250544663,0.5523513753327418,0.9849397590361446,uav_blockage,UAV blockage,3
One-Shot LLM,25,2029,180,205,4500,0.3511111111111111,2.7798653414658645,13.22971939454382,25.625770002951036,554.0684898130969,1.0,0.0,0.0,0.015158644541063242,760.0,135.0,0.05991285403050109,0.33096716947648624,0.5865963855421686,uav_blockage,UAV blockage,3
AAI-CDOS,25,2030,180,18,4500,0.8946666666666667,0.3290187246768345,0.6751935375357527,1.4764948675976535,20.522222487953442,1.2106666666666666,0.21066666666666667,6.948,0.013325844373967912,880.9315555555555,102.90666666666667,0.7314814814814815,0.903125,0.9820916905444126,uav_blockage,UAV blockage,3
Single Domain,25,2030,180,18,4500,0.5153333333333333,0.7185765018404572,2.5456103617524377,12.61792744662635,250.8888066938115,1.0,0.0,1.0,0.0018503333752353985,0.0,0.0,0.07523148148148148,0.46383928571428573,0.8703438395415473,uav_blockage,UAV blockage,3
Independent Agents,25,2030,180,18,4500,0.6033333333333334,0.3788290631481584,0.6775686736066764,8.519039564271045,175.75936859216836,1.0,0.0,4.0,0.009397333539608452,0.0,0.0,0.08680555555555555,0.5651785714285714,0.9842406876790831,uav_blockage,UAV blockage,3
