study,value,vehicles,seed,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
negotiation_rounds,1.0,25,2040,4500,0.982,0.15563935953827543,0.28709912398539505,0.35467145109577675,2.3311809076327394,1.0,0.018,6.0,0.00962753656009833,845.1182222222222,85.0,0.9463087248322147,0.9854433171592413,1.0
negotiation_rounds,2.0,25,2040,4500,0.982,0.15583514697381,0.2908375032761565,0.34875440008908276,2.3181945128839634,1.0186666666666666,0.018666666666666668,6.093333333333334,0.009871918501125442,848.2915555555555,86.58666666666667,0.9496644295302014,0.984119982355536,1.0
negotiation_rounds,3.0,25,2040,4500,0.982,0.15583514697381,0.2908375032761565,0.34875440008908276,2.3181945128839634,1.0366666666666666,0.03666666666666667,6.165333333333334,0.009932509726948209,851.3515555555556,88.11666666666666,0.9496644295302014,0.984119982355536,1.0
mismatch_delay,0.0,25,2041,4500,0.8784444444444445,0.164511346032439,0.2957178377558202,1.6923027658996321,29.618977277137873,1.0,0.0,4.0,0.007551946987708409,0.0,0.0,0.4520396912899669,0.9776686020544886,1.0
mismatch_delay,0.04,25,2041,4500,0.8037777777777778,0.2187221400389042,0.35451455857282466,2.8691133246721825,68.09680719604285,1.0,0.0,4.0,0.0075742897267142935,0.0,0.0,0.15325248070562295,0.9486377847253238,1.0
mismatch_delay,0.08,25,2041,4500,0.7462222222222222,0.27762678831678994,0.41968979809468154,3.9963793214698824,100.1325492482417,1.0,0.0,4.0,0.007567758258018229,0.0,0.0,0.10363836824696802,0.8530594015185351,1.0
mismatch_delay,0.12,25,2041,4500,0.5568888888888889,0.3382788811803754,0.48779947681802144,9.666616718769289,170.79808910359037,1.0,0.0,4.0,0.007532778402997388,0.0,0.0,0.022050716648291068,0.506029477445288,0.9992614475627769
negotiation_rounds,1.0,25,2041,4500,0.9722222222222222,0.16280727018814414,0.29434710708100326,0.4699177422902093,2.703430559240802,1.0,0.027777777777777776,6.0,0.009641230002873473,845.1182222222222,85.0,0.9095920617420066,0.9807949977668602,1.0
negotiation_rounds,2.0,25,2041,4500,0.9728888888888889,0.16411994955291628,0.3003224919744247,0.4641316393321683,2.68767084154868,1.027111111111111,0.02711111111111111,6.135555555555555,0.010010481294658449,849.7271111111111,87.30444444444444,0.9106945975744212,0.9816882536846807,1.0
negotiation_rounds,3.0,25,2041,4500,0.9728888888888889,0.16411994955291628,0.3003224919744247,0.4641316393321683,2.68767084154868,1.0542222222222222,0.05422222222222222,6.244,0.010037471643752523,854.336,89.60888888888888,0.9106945975744212,0.9816882536846807,1.0
mismatch_delay,0.0,25,2042,4500,0.8671111111111112,0.1714172223650068,0.3041898615187096,1.870024437808202,52.23823809680225,1.0,0.0,4.0,0.007564997817907069,0.0,0.0,0.40770101925254815,0.966828836797877,1.0
mismatch_delay,0.04,25,2042,4500,0.798,0.22227099720885077,0.3597210926751839,2.9906296921602675,86.11201568876461,1.0,0.0,4.0,0.00755303611771928,0.0,0.0,0.1438278595696489,0.9323308270676691,1.0
mismatch_delay,0.08,25,2042,4500,0.7353333333333333,0.27888286427980696,0.4265050307913464,4.28505943222793,106.82545911218382,1.0,0.0,4.0,0.0075747377963529695,0.0,0.0,0.08720271800679502,0.8297213622291022,1.0
mismatch_delay,0.12,25,2042,4500,0.5715555555555556,0.33774031544077315,0.5009229711101497,9.04892705279874,196.08782196108186,1.0,0.0,4.0,0.007583533103267352,0.0,0.0,0.014722536806342015,0.5320654577620522,1.0
negotiation_rounds,1.0,25,2042,4500,0.9717777777777777,0.1739032274531808,0.31450955009050563,0.4952524982199494,2.9375007896217005,1.0,0.02822222222222222,6.0,0.009663976211514737,845.1182222222222,85.0,0.912797281993205,0.978328173374613,0.9992625368731564
negotiation_rounds,2.0,25,2042,4500,0.9726666666666667,0.1734504330397562,0.31066108672955933,0.4853847447728462,2.848227945932785,1.0275555555555556,0.027555555555555555,6.137777777777778,0.010062638463245498,849.8026666666667,87.34222222222222,0.9161947904869762,0.9787704555506413,0.9992625368731564
negotiation_rounds,3.0,25,2042,4500,0.9726666666666667,0.1734504330397562,0.31066108672955933,0.4853847447728462,2.848227945932785,1.054888888888889,0.05488888888888889,6.247111111111111,0.010024671132365862,854.4493333333334,89.66555555555556,0.9161947904869762,0.9787704555506413,0.9992625368731564
mismatch_delay,0.0,25,2043,4500,0.8724444444444445,0.1692107708761616,0.3045971934557412,1.8817408030606004,38.163740723143576,1.0,0.0,4.0,0.007555144425067637,0.0,0.0,0.4349726775956284,0.9742547425474255,1.0
mismatch_delay,0.04,25,2043,4500,0.7902222222222223,0.22448054642263116,0.365983566981966,3.217846085974941,78.00027890851626,1.0,0.0,4.0,0.007547897804114554,0.0,0.0,0.13442622950819672,0.931345980126468,1.0
mismatch_delay,0.08,25,2043,4500,0.7173333333333334,0.2844941565144294,0.4331294282978201,4.8400965489783925,103.004953661894,1.0,0.0,4.0,0.0075552574255400235,0.0,0.0,0.09398907103825137,0.8003613369467028,0.9992706053975201
mismatch_delay,0.12,25,2043,4500,0.5553333333333333,0.3446199261947134,0.5070643189863887,9.968238883153255,184.49624174714006,1.0,0.0,4.0,0.007561236930390199,0.0,0.0,0.024043715846994537,0.5,0.9992706053975201
negotiation_rounds,1.0,25,2043,4500,0.9733333333333334,0.16895508704226547,0.30750461493783443,0.45428853064634767,2.660854679213296,1.0,0.02666666666666667,6.0,0.009592436357504792,845.1182222222222,85.0,0.9092896174863389,0.9841915085817525,0.9985412107950401
negotiation_rounds,2.0,25,2043,4500,0.974,0.16849497066794994,0.30520549185493895,0.4525543810690585,2.6165557691997905,1.0262222222222221,0.026222222222222223,6.131111111111111,0.009957968774769042,849.576,87.22888888888889,0.9136612021857924,0.983739837398374,0.9985412107950401
