event_id,vehicles,seed,frame,task_class,scheme,access,compute,deadline_ms,dt_update_latency_ms,tx_ms,path_ms,queue_ms,service_ms,deadline_met,dt_age_ms,position_error_m,rounds,rejections,verifier_accepted,fallback,proposal_conflict,decision_wall_ms,tool_calls,api_calls,input_tokens,output_tokens,sum_api_latency_ms
n50_s2026_e6,50,2026,154,routine,AAI-CDOS,uav,ground0,1000.0,257.725,74.613,13.765,150.675,18.672,True,257.725,0.063009,1,0,True,False,False,2157.031,6,4,2403,93,3840.813
n50_s2026_e6,50,2026,154,routine,Independent Agents,uav,ground1,1000.0,264.925,74.613,13.765,157.876,18.672,True,264.925,0.06477,1,0,False,False,True,943.25,3,3,1232,61,2720.684
n50_s2026_e6,50,2026,154,routine,One-Shot LLM,ground,ground1,1000.0,18613.052,18428.74,7.765,157.876,18.672,False,10834.619,2.648879,1,0,False,False,False,822.698,0,1,575,21,822.505
n50_s2026_e6,50,2026,154,routine,Single Domain,leo,sat0,1000.0,320.493,128.961,27.968,162.63,0.934,True,320.493,0.078355,1,0,False,False,False,1129.694,1,1,267,19,1129.545
n50_s2027_e1,50,2027,5,cooperative,AAI-CDOS,leo,sat0,350.0,226.394,53.374,28.701,143.309,1.009,True,226.394,2.94388,1,0,True,False,False,2387.899,6,4,1682,88,4001.253
n50_s2027_e1,50,2027,5,cooperative,Independent Agents,leo,sat0,350.0,226.394,53.374,28.701,143.309,1.009,True,226.394,2.94388,1,0,False,False,True,1187.543,3,3,988,60,3039.964
n50_s2027_e1,50,2027,5,cooperative,One-Shot LLM,ground,ground0,350.0,21476.883,21304.716,8.497,143.484,20.185,False,10772.014,140.072263,1,0,False,False,False,898.082,0,1,574,21,897.911
n50_s2027_e1,50,2027,5,cooperative,Single Domain,leo,sat0,350.0,226.394,53.374,28.701,143.309,1.009,True,226.394,2.94388,1,0,False,False,False,994.162,1,1,266,19,994.033
n50_s2027_e2,50,2027,52,routine,AAI-CDOS,uav,ground0,1000.0,215.267,12.001,17.648,167.149,18.469,True,215.267,0.013589,1,0,True,False,False,2101.165,6,4,1827,89,3928.237
n50_s2027_e2,50,2027,52,routine,Independent Agents,ground,ground0,1000.0,33186.587,32989.322,11.648,167.149,18.469,False,10589.287,0.668486,1,0,False,False,True,1364.7,3,3,1039,61,3332.729
n50_s2027_e2,50,2027,52,routine,One-Shot LLM,ground,ground0,1000.0,33186.587,32989.322,11.648,167.149,18.469,False,10589.287,0.668486,1,0,False,False,False,974.429,0,1,574,21,974.253
n50_s2027_e2,50,2027,52,routine,Single Domain,uav,uav1,1000.0,640.292,12.001,12.648,0.0,615.643,True,640.292,0.040421,1,0,False,False,False,947.44,1,1,266,20,947.32
n50_s2027_e3,50,2027,70,cooperative,AAI-CDOS,leo,sat0,350.0,288.458,73.165,26.845,187.338,1.111,True,288.458,2.234967,1,0,True,False,False,2085.218,6,4,1967,88,3912.652
n50_s2027_e3,50,2027,70,cooperative,Independent Agents,leo,sat0,350.0,288.458,73.165,26.845,187.338,1.111,True,288.458,2.234967,1,0,False,False,True,1005.332,3,3,1086,60,2813.601
n50_s2027_e3,50,2027,70,cooperative,One-Shot LLM,ground,ground0,350.0,23678.307,23443.368,6.641,206.087,22.211,False,10822.606,83.853355,1,0,False,False,False,1028.153,0,1,575,21,1027.99
n50_s2027_e3,50,2027,70,cooperative,Single Domain,leo,sat0,350.0,288.458,73.165,26.845,187.338,1.111,True,288.458,2.234967,1,0,False,False,False,784.379,1,1,267,19,784.252
n50_s2027_e4,50,2027,116,safety,AAI-CDOS,uav,ground0,150.0,306.398,166.551,11.047,104.971,23.829,False,10866.318,40.767263,3,3,False,True,False,8663.815,14,12,7772,271,14308.503
n50_s2027_e4,50,2027,116,safety,Independent Agents,ground,ground1,150.0,18667.038,18444.016,5.047,194.145,23.829,False,10866.318,40.767263,1,0,False,False,True,1101.477,3,3,1134,60,2947.884
n50_s2027_e4,50,2027,116,safety,One-Shot LLM,ground,ground0,150.0,18577.863,18444.016,5.047,104.971,23.829,False,10866.318,40.767263,1,0,False,False,False,912.094,0,1,575,21,911.895
n50_s2027_e4,50,2027,116,safety,Single Domain,leo,sat0,150.0,326.549,51.628,25.251,248.479,1.191,False,10866.318,40.767263,1,0,False,False,False,928.136,1,1,267,19,927.987
n50_s2027_e5,50,2027,159,routine,AAI-CDOS,uav,ground1,1000.0,337.97,9.374,15.637,294.356,18.603,True,337.97,0.01172,1,0,True,False,False,2030.503,6,4,2248,91,3818.515
n50_s2027_e5,50,2027,159,routine,Independent Agents,ground,ground1,1000.0,794.111,471.515,9.637,294.356,18.603,True,794.111,0.027538,1,0,False,False,True,1057.53,3,3,1179,63,2988.507
n50_s2027_e5,50,2027,159,routine,One-Shot LLM,ground,ground1,1000.0,794.111,471.515,9.637,294.356,18.603,True,794.111,0.027538,1,0,False,False,False,1095.928,0,1,572,21,1095.746
n50_s2027_e5,50,2027,159,routine,Single Domain,uav,uav4,1000.0,640.123,9.374,10.637,0.0,620.113,True,640.123,0.022198,1,0,False,False,False,910.187,1,1,264,20,910.059
n50_s2027_e6,50,2027,173,safety,AAI-CDOS,leo,sat0,150.0,310.031,75.873,26.533,206.484,1.141,False,10941.189,2.475652,3,3,False,True,False,7007.959,14,12,8640,270,12821.933
n50_s2027_e6,50,2027,173,safety,Independent Agents,leo,sat0,150.0,310.031,75.873,26.533,206.484,1.141,False,10941.189,2.475652,1,0,False,False,True,1270.205,3,3,1228,60,3567.423
