scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
One-Shot LLM,10,2038,180,2,1800,0.8311111111111111,0.48019989833360216,4.633153676897516,2.4015080933915223,64.77281203650688,1.0,0.0,0.0,0.01837021257314417,760.0,135.0,0.5760869565217391,0.8902714932126696,0.906934306569343
AAI-CDOS,10,2039,180,102,1800,0.9905555555555555,0.11093779951872675,0.20435306082055654,0.20930885175602548,1.3788901765417598,1.018888888888889,0.01888888888888889,6.085,0.00983850047406223,847.0066666666667,86.60555555555555,0.9467084639498433,1.0,1.0
Single Domain,10,2039,180,102,1800,0.5933333333333334,0.6001049347282661,2.0365903956072913,12.833791430293264,238.80226483365746,1.0,0.0,1.0,0.0015828442863292163,0.0,0.0,0.335423197492163,0.5579399141630901,0.8032786885245902
Independent Agents,10,2039,180,102,1800,0.8533333333333334,0.21067824598218976,0.33626981144870305,2.081853586602962,46.29141728907599,1.0,0.0,4.0,0.007643076694673962,0.0,0.0,0.2601880877742947,0.9699570815450643,1.0
One-Shot LLM,10,2039,180,102,1800,0.8516666666666667,0.45929853857697367,4.476152886463006,2.0596080329349915,34.258333777781154,1.0,0.0,0.0,0.01855203467938635,760.0,135.0,0.5799373040752351,0.8959227467811158,0.9344262295081968
AAI-CDOS,10,2040,180,233,1800,0.9877777777777778,0.11355598840457744,0.21451704270957192,0.2486291679992283,1.8224595584368766,1.0244444444444445,0.024444444444444446,6.11,0.009774504125946097,847.9511111111111,87.07777777777778,0.9426934097421203,0.9978540772532188,1.0
Single Domain,10,2040,180,233,1800,0.5883333333333334,0.5723632685697042,1.6776122073173378,13.142835412908001,296.7467696030053,1.0,0.0,1.0,0.0015855226148333815,0.0,0.0,0.3553008595988539,0.5525751072961373,0.8092485549132948
Independent Agents,10,2040,180,233,1800,0.8477777777777777,0.20401704930927148,0.3440243781540762,2.32021527647712,68.09269320308897,1.0,0.0,4.0,0.007609133867339956,0.0,0.0,0.34097421203438394,0.9527896995708155,1.0
One-Shot LLM,10,2040,180,233,1800,0.8211111111111111,0.5321028524566994,4.6977911064978874,2.6013503781652987,74.73883695052531,1.0,0.0,0.0,0.018337595069573984,760.0,135.0,0.5444126074498568,0.8680257510729614,0.9229287090558767
AAI-CDOS,10,2041,180,24,1800,0.9877777777777778,0.11586370612577027,0.22162355744312884,0.24721903902346207,1.8402290671502572,1.0244444444444445,0.024444444444444446,6.11,0.009814645422415601,847.9511111111111,87.07777777777778,0.9442970822281167,0.9988700564971752,1.0
Single Domain,10,2041,180,24,1800,0.5761111111111111,0.6158466722721725,2.1006455492577425,18.53839262987255,263.6363893369873,1.0,0.0,1.0,0.0015954106735686462,0.0,0.0,0.29708222811671087,0.5412429378531074,0.828996282527881
Independent Agents,10,2041,180,24,1800,0.8266666666666667,0.2066268565135045,0.3446161611269446,2.5195421874755546,65.53725163467159,1.0,0.0,4.0,0.0075960345566272736,0.0,0.0,0.28116710875331563,0.9536723163841808,1.0
One-Shot LLM,10,2041,180,24,1800,0.84,0.42099303539124633,4.332967532922909,2.3158769971832913,74.84579223084852,1.0,0.0,0.0,0.018435858397020236,760.0,135.0,0.5464190981432361,0.9028248587570622,0.9423791821561338
AAI-CDOS,10,2042,180,170,1800,0.9916666666666667,0.10301477612038806,0.20124376426651752,0.19689203313766682,1.731026818399226,1.0166666666666666,0.016666666666666666,6.075,0.009780705440789461,846.6288888888889,86.41666666666667,0.9586776859504132,1.0,1.0
Single Domain,10,2042,180,170,1800,0.5233333333333333,0.691441665697972,2.142723013393681,23.75554309703166,437.1597900520843,1.0,0.0,1.0,0.0016064877207908365,0.0,0.0,0.31129476584022037,0.46864686468646866,0.7632575757575758
Independent Agents,10,2042,180,170,1800,0.8427777777777777,0.20577151754934903,0.3237257032314882,2.194824546639444,68.4383344680896,1.0,0.0,4.0,0.007629109701762597,0.0,0.0,0.29201101928374656,0.9713971397139713,1.0
